Current Day of the year,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
308,0.078,-0.077,-3,-0.041,0.146,0.012,0.056,0.006
309,0.117,0.42,8,0.178,-0.219,-0.019,1.051,0.034
310,0.087,-0.242,-7,-0.135,0.045,0.016,-0.097,0.002
312,0.131,-0.399,-13,-0.2,0.001,0.011,-0.472,-0.018
313,0.034,-0.088,0,0,-0.024,0,-0.18,-0.009
314,0.073,0.035,-6,-0.085,0.047,0.001,0.173,0.007
315,0.082,-0.081,-3,-0.041,0.049,0.006,0.084,0.007
316,0.112,0.449,8,0.178,-0.221,-0.018,1.031,0.03
317,0.09,-0.247,-8,-0.151,0.025,0.013,-0.195,-0.002
319,0.128,-0.396,-14,-0.209,0.027,0.012,-0.392,-0.013
320,0.034,-0.097,0,0,-0.007,0.001,-0.209,-0.01
321,0.079,0.038,-4,-0.056,-0.013,-0.003,0.144,0.005
322,0.087,-0.085,-3,-0.041,-0.009,0.004,-0.026,0.002
323,0.113,0.482,9,0.191,-0.206,-0.017,1.148,0.031
324,0.097,-0.255,-8,-0.145,-0.135,0.002,-0.211,-0.002
326,0.133,-0.398,-14,-0.203,0.236,0.023,-0.383,-0.012
327,0.018,-0.1,-2,-0.028,0.459,0.017,0.244,0.009
328,0.08,0.044,-3,-0.041,-0.019,-0.002,0.148,0.003
329,0.092,-0.085,-5,-0.063,0.013,0.003,0.026,0.003
330,0.122,0.526,7,0.137,-0.205,-0.011,0.945,0.015
331,0.088,-0.269,-7,-0.121,-0.124,0.002,-0.244,-0.002
333,0.133,-0.405,-14,-0.194,0.103,0.011,-0.351,-0.006
334,0.034,-0.104,0,0,-0.325,-0.015,-0.587,-0.033
335,0.074,0.053,-2,-0.027,-0.004,-0.002,0.159,0.006
336,0.08,-0.09,-6,-0.075,0.011,0.004,0.016,0.005
337,0.108,0.511,9,0.173,-0.208,-0.017,1.218,0.032
338,0.091,-0.261,-9,-0.148,-0.031,0.01,-0.222,-0.002
340,0.13,-0.403,-13,-0.176,0.073,0.014,-0.398,-0.012
341,0.034,-0.112,1,0.014,-0.027,0.001,-0.161,-0.006
342,0.074,0.049,-2,-0.027,-0.032,-0.004,0.15,0.005
343,0.08,-0.088,-6,-0.074,0.051,0.006,0.027,0.004
344,0.107,0.537,11,0.212,-0.199,-0.017,1.191,0.025
345,0.096,-0.269,-9,-0.148,-0.072,0.007,-0.234,-0.002
347,0.124,-0.406,-14,-0.187,0.162,0.018,-0.36,-0.008
348,0.034,-0.117,0,0,-0.068,-0.001,-0.255,-0.009
